id;org_nom;org_adresse;code_postal;commune;url;niveau_enfant;titre;activite;public;type_ressource;thematiques;handicap_adapt;duree_txt;perennite;rattachement;thematique_autre;autre_precise;geo;lat;lon;code_postal_num;duree_min;description;long_duration;is_for_kids;is_accessible;date
588;Archives départementales - Calvados;61 rue de Lion-sur-Mer;14000;Caen;https://archives.calvados.fr/editorial/page/39663280-35ce-46ff-95c4-4fad9b7dbfc6#;;Archives en ligne;Approfondir ses connaissances;Tous publics;IMAGES|COLLECTIONS NUMÉRISÉES|BASES DE DONNÉES;ARCHIVES;;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;49.201873,-0.354741;49.201873;-0.354741;14000;120;Des contenus ludiques pour les plus jeunes aux documents pour faire sa généalogie, des images anciennes de ma commune à la presse en ligne du Calvados ... il y en a pour tous les goûts ! Les Archives du Calvados conservent près de 60 kilomètres linéaires d'archives du XIème siècle à nos jours !;false;false;false;2023-01-10
678;Bibliothèque nationale de France (BNF);Quai François Mauriac;75706;Paris;https://gallica.bnf.fr/essentiels/;;Gallica - Essentiels de la littérature;Livres;Tous publics;LIVRES NUMÉRIQUES;HISTOIRE|LITTÉRATURE|SCIENCES HUMAINES|LANGUES;;Toute une vie ne suffit pas;Accès permanent;Ministère de la Culture ou opérateur national;;;48.833194,2.378216;48.833194;2.378216;75706;150;Parcourir les oeuvres et auteurs de la littérature française, du XVIIIe au XIXe siècle, selon des approches chronologiques ou thématiques.;true;false;false;2022-05-30
783;Ecole normale supérieure;45 rue d'ulm;75005;Paris;https://savoirs.ens.fr/recherche.php?class=8&rechercheOption=ThemeRacine&rechercheTerme=Arts&classe=Lettres;;Conférences sur l'art et les jeux vidéos;Approfondir ses connaissances;Tous publics;AUDIO|RADIO|PODCASTS;ARTS NUMÉRIQUES|SCIENCES|ARTS DÉCORATIFS|DESIGN|MÉTIERS D’ART|LITTÉRATURE|SCIENCES HUMAINES|LANGUES;;Toute une vie ne suffit pas;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;48.842294,2.344285;48.842294;2.344285;75005;150;Plus d'une centaine de conférences audio disponibles sur l'art et le jeu vidéo : L'art peut-il réparer le corps?, Jeu vidéo Detroit Become Human, Une histoire de la sexualité dans les films de monstres,..;true;false;false;2025-08-02
862;Institut national de l'audiovisuel (INA);18, avenue des Frères-Lumière;94366;Bry-sur-Marne;https://www.youtube.com/user/Inahistoire;;INA Histoire;Films, documentaires, vidéos;Tous publics;VIDÉO|FLUX EN DIRECT|PROGRAMMES EN DIFFÉRÉ|EXPOSITIONS VIRTUELLES;AUDIOVISUEL|HISTOIRE;;Toute une vie ne suffit pas;Accès permanent;Ministère de la Culture ou opérateur national;;;48.836527,2.532676;48.836527;2.532676;94366;150;Regardez les images d'archives des événements marquants de notre histoire. Retrouvez des reportages sur la première et seconde guerre mondiale, la guerre d'Algérie, mai 68, la guerre d'Afghanistan, la guerre du Koweit ... diffusés au cours de l'histoire de la télévision française.;true;false;false;2024-06-12
885;Médiathèque Pablo Neruda de Malakoff/ Vallée Sud-Grand Paris;Médiathèque Pablo Neruda, 24 Rue Béranger.;92240;Malakoff;https://www.youtube.com/user/MediathequeMalakoff/playlists;Maternelle;La Médiathèque de Malakoff sur YouTube;Partager ses passions;Enfants;CRÉATION ET PRATIQUES ARTISTIQUES;ÉDUCATION ARTISTIQUE ET CULTURELLE|MUSIQUE|CONCERTS ET OPÉRAS;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Collectivité territoriale;;;44.844069,0.463637;44.844069;0.463637;92240;10;Animations, ateliers, débats et rencontres organisés par la Médiathèque Pablo-Neruda de Malakoff;false;true;false;2025-01-12
941;Métropole Européenne;1 Rue du Ballon;59800;Lille;https://www.lillemetropole.fr/actualites/bibliomobi-le-plein-de-lectures-ou-et-quand-vous-voulez-et-gratuitement;;Bibliomobi;Livres;Tous publics;LIVRES NUMÉRIQUES;BANDE DESSINÉE|LITTÉRATURE|SCIENCES HUMAINES|LANGUES;;Toute une vie ne suffit pas;Accès permanent;Collectivité territoriale;;;50.642253,3.076568;50.642253;3.076568;59800;150;L'appli qui propose des lectures sur votre mobile et gratuitement ! Téléchargez des nouvelles, des BD, de la poésie et des exclusivités d’auteurs des Hauts-de-France. Plus de 300 oeuvres courtes disponibles et des nouveautés ajoutées tous les 15 jours ! Bibliomobi est disponible sur iOS et Android.;true;false;false;2022-06-13
1035;Musée du Louvre;Rue de Rivoli;75001;Paris;https://focus.louvre.fr/;;Focus sur une oeuvre;Expos, musées;Tous publics;IMAGES|COLLECTIONS NUMÉRISÉES|BASES DE DONNÉES;PEINTURE|MUSÉES;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;48.862527,2.335861;48.862527;2.335861;75001;10;Focus sur des tableaux célèbres à travers plusieurs détails afin d’observer, comprendre et comparer cette œuvre emblématique;false;false;false;2025-08-15
1048;Musée Fabre;13, rue Montpellieret;34000;Montpellier;http://museefabre.extraart.fr;;"Visite virtuelle 360° de l'exposition ""Jean Ranc, un Montpelliérain à la cour des rois""";Expos, musées;Tous publics;EXPOSITIONS VIRTUELLES;ARTS DÉCORATIFS|DESIGN|MÉTIERS D’ART|ARTS VISUELS|ÉDUCATION ARTISTIQUE ET CULTURELLE|MUSÉES|PEINTURE|SCIENCES|SCULPTURE;TRANSCRIPTION TEXTUELLE|AUDIODESCRIPTION (AD)|FACILE À LIRE ET À COMPRENDRE (FALC);Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;43.611213,3.880154;43.611213;3.880154;34000;120;Malgré le confinement, l'exposition du musée Fabre « Jean Ranc, un Montpelliérain à la cour des rois » est à nouveau ouverte au public grâce à une visite virtuelle. Le module interactif 360° conçu par Extra Art permet au visiteur de naviguer d’une section à l’autre, d'explorer le détail des peintures grâce à des clichés en haute définition et d'accéder à tous les contenus écrits proposés dans l'exposition. Au-delà du confinement, cette visite constituera une première invitation pour les publics.;false;false;true;2022-08-01
1105;Opéra national de Lyon;Place de la comédie;69001;Lyon;https://www.youtube.com/playlist?list=PLWoadw5rtauSnF5YouJ17mY-Hv21IHQSQ;;Les métier de l'Opéra;Films, documentaires, vidéos;Tous publics;VIDÉO|FLUX EN DIRECT|PROGRAMMES EN DIFFÉRÉ;DANSE|MUSIQUE|CONCERTS ET OPÉRAS;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;45.767723,4.836011;45.767723;4.836011;69001;10;De couturier à machiniste en passant par accessoiriste, découvrez en vidéos toutes les facettes des métiers qui composent l'Opéra.;false;false;false;2023-01-12
617;Archives départementales - Seine-Saint-Denis;Conseil départemental de la Seine-Saint-Denis, Hôtel du Département, Esplanade Jean-Moulin;93000;Bobigny;https://archives.seinesaintdenis.fr/Archives-en-ligne/p219/Archives-en-ligne;;Archives en ligne;Approfondir ses connaissances;Tous publics;IMAGES|COLLECTIONS NUMÉRISÉES|BASES DE DONNÉES;ARCHIVES;;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;;;;93000;120;Fonds iconographiques (cartes postales, estampes et gravures, photographies du journal l'Humanité,...) et portail des familles (= ressources pour la généalogie);false;false;false;2025-04-04
638;Archives municipales et métropolitaines;Hôtel de Ville Place de l'Etape;45040;Orléans;http://archives.orleans-metropole.fr/r/19/expositions-virtuelles/;;Orléans - Expositions virtuelles des Archives;Expos, musées;Tous publics;IMAGES|COLLECTIONS NUMÉRISÉES|BASES DE DONNÉES;ARCHIVES;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;47.90303,1.908716;47.90303;1.908716;45040;60;Une vingtaine d'expositions virtuelles réalisées par les Archives d'Orléans sont consultables directement en ligne. Découvrez la ville à travers son histoire, ses quartiers, ses édifices et ses habitants.;false;false;false;2025-05-17
664;Bayard Presse;18 Rue Barbès;92120;Montrouge;https://podcast.ausha.co/histoires-jeunesse;;Podcast Histoires de jeunesse;Audios;Tous publics;AUDIO|RADIO|PODCASTS;LITTÉRATURE|SCIENCES HUMAINES|LANGUES;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Organisme privé;;;48.817246,2.327521;48.817246;2.327521;92120;10;Histoires de jeunesse est un podcast qui vous emmène à la rencontre d’écrivains pour la jeunesse et vous fait entrer dans les coulisses de leurs créations.;false;false;false;2024-01-22
665;Bibebook;45, rue Paul Lafargue;69100;Villeurbanne;http://www.bibebook.com/visual-search;;1 700 livres numériques gratuits;Livres;Tous publics;LIVRES NUMÉRIQUES;LITTÉRATURE|SCIENCES HUMAINES|LANGUES;;Toute une vie ne suffit pas;Accès permanent;Organisme privé;;;45.76586,4.883785;45.76586;4.883785;69100;150;Gratuits, libres, multi-supports, réutilisables et rediffusables;true;false;false;2022-08-28
668;Bibliothèque interuniversitaire de la Sorbonne;Université Paris 1 PAnthéon Sorbonne;75005;Paris;https://nubis.univ-paris1.fr/exhibits;;NuBIS, bibliothèque numérique;Expos, musées;Tous publics;IMAGES|COLLECTIONS NUMÉRISÉES|BASES DE DONNÉES;ARCHIVES|HISTOIRE;;Le temps d’un vrai déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;48.86086,2.315226;48.86086;2.315226;75005;60;Bibliothèque patrimoniale numérique : ressources manuscrites, imprimées et iconographiques en lettres et sciences humaines librement accessibles. Comprend principalement des documents relatifs à l'histoire de l'Université de Paris et des fonds d'archives privées;false;false;false;2023-06-03
682;Bibliothèque nationale de France (BNF);Quai François Mauriac;75706;Paris;http://classes.bnf.fr/echo/;;Entendre le théâtre;Audios;Tous publics;AUDIO|RADIO|PODCASTS;THÉÂTRE|SPECTACLES;;Le temps d’un vrai déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;48.833194,2.378216;48.833194;2.378216;75706;60;L’expérience d’écoute de la Bibliothèque nationale de France. Sous l’influence de la radio, du cinéma et du cabaret, les théâtres français n’ont eu de cesse, d’explorer de nouvelles façons, plus accessibles, de dire les textes dramatiques. En quatre actes émaillés de podcasts et d’expériences d’écoute, le site « Entendre le théâtre » retrace cette histoire de la voix théâtrale avec de nombreux documents d’archive.;false;false;false;2023-03-24
698;Carré d'Art-Musée d'art contemporain;Place de la Maison Carrée;30000;Nîmes;https://www.carreartmusee.com/fr/service-des-publics/ateliers-creatifs-a-faire-chez-soi/;;Ateliers créatifs à faire chez soi;Partager ses passions;Enfants;JEUX|CRÉATION ET PRATIQUES ARTISTIQUES;ARTS VISUELS;;Le temps d’un vrai déjeuner;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;43.838151,4.355991;43.838151;4.355991;30000;60;Tous les Jours, Carré d'Art propose des ateliers pour les petits et les grands autour des oeuvres de la collection du musée. Une occasion pour tous de se retrouver et de créer ensemble : des dessins, des collages, des jeux, des assemblages... Des ateliers pensés pour être faits de la maison avec les moyens à proximité.;false;false;false;2023-07-23
707;Centre Dramatique National de Normandie-Rouen;48 rue Louis Ricard;76000;Rouen;https://www.cdn-normandierouen.fr/ca-n-engage-a-rien-radio-hdr/;;« Ça n’engage à rien », le podcast du CDN de Normandie-Rouen;Audios;Tous publics;AUDIO|RADIO|PODCASTS;THÉÂTRE|SPECTACLES;;Le temps d’un vrai déjeuner;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;49.446546,1.100425;49.446546;1.100425;76000;60;Avec les podcasts « Ça n’engage à rien », le CDN de Normandie-Rouen vous fait découvrir les coulisses des spectacles en création. Une émission d’une heure consacrée aux dessous d’un spectacle et aux questions qui le traversent. En partenariat avec Radio HDR.;false;false;false;2023-03-04
711;Centre National de la Danse;1 Rue Victor Hugo;93507;Pantin;http://mediatheque.cnd.fr/spip.php?page=mediatheque-numerique-parcourir;;Médiathèque numérique;Approfondir ses connaissances;Tous publics;VIDÉO|FLUX EN DIRECT|PROGRAMMES EN DIFFÉRÉ;DANSE;;Le temps d’un vrai déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;48.895566,2.401308;48.895566;2.401308;93507;60;Plus de 50000 documents numériques sont consultables en ligne : photographies, vidéos, documents sonores...;false;false;false;2022-04-13
719;Centre national du costume de scène et de la scénographie;Quartier Villars, Route de Montilly;03000;Moulins;https://www.cncs.fr/activit%C3%A9s-num%C3%A9riques;;Multimédia;Expos, musées;Tous publics;EXPOSITIONS VIRTUELLES;MODE;;Le temps d’une soirée;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;46.565557,3.315925;46.565557;3.315925;3000;120;Découvrez nos visites virtuelles, applications et ateliers numériques grâce à nos outils de médiation en ligne !;false;false;false;2024-07-10
726;Château de Chamerolles;Route de Gallerand;45170;Chilleurs-au-Bois;http://www.chateauchamerolles.fr/articles/visite-virtuelle;;Visite à 360° depuis votre canapé !;Expos, musées;Tous publics;EXPOSITIONS VIRTUELLES;ARCHITECTURE ET PATRIMOINE|HISTOIRE|MONUMENTS HISTORIQUES|PARCS ET JARDINS;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;48.071257,2.137133;48.071257;2.137133;45170;60;Visite immersive : Swany, petite gargouille au visage plein de bonhomie, invitera les flâneurs virtuels à découvrir les secrets du château de Chamerolles. De salle en salle, le petit personnage au large sourire guidera ses hôtes, en quelques clics.;false;false;false;2025-02-04
800;Espace multimédia Gantner;1 rue de la varonne;90140;Bourogne;https://www.espacemultimediagantner.cg90.net/la-collection/;;Collection d'arts numériques;Expos, musées;Tous publics;IMAGES|COLLECTIONS NUMÉRISÉES|BASES DE DONNÉES|EXPOSITIONS VIRTUELLES;ARTS NUMÉRIQUES|ARTS VISUELS;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;47.564003,6.917222;47.564003;6.917222;90140;60;Depuis 2004, l’Espace multimédia Gantner possède une collection d’œuvres d’art numériques unique en France. Cette collection propose un panorama de la création contemporaine numérique allant des cd-rom d’artistes aux installations. Vous pouvez découvrir ici l’ensemble de ces œuvres et leur documentation. Ces thèmes en sont : l’identité, l’immigration, la science-fiction, la fiction, le féminisme, la mémoire, la manipulation des médias…;false;false;false;2023-07-30
859;Institut national d’histoire de l’art (INHA);2 Rue Vivienne;75002;Paris;https://bibliotheque-numerique.inha.fr/;;Bibliothèque numérique;Expos, musées;Tous publics;IMAGES|COLLECTIONS NUMÉRISÉES|BASES DE DONNÉES;HISTOIRE|MUSÉES|PEINTURE|SCULPTURE;;Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;48.866499,2.338842;48.866499;2.338842;75002;120;Consultation gratuite et illimitée vers plus de 24 000 documents en ligne, composés de plus de 783 000 images, issue d'une politique active de numérisation, rendant accessibles les trésors de ses collections ainsi que des usuels et classiques de l’histoire de l’art, dont les originaux sont conservés à la bibliothèque de l'INHA.;false;false;false;2023-10-02
894;Labex Les passés dans le présent - Université Paris Nanterre;200 avenue de la République;92000;Nanterre;http://naissanceethnologie.fr/;;A la naissance de l'ethnologie française;Expos, musées;Tous publics;IMAGES|COLLECTIONS NUMÉRISÉES|BASES DE DONNÉES|EXPOSITIONS VIRTUELLES;HISTOIRE|LITTÉRATURE|SCIENCES HUMAINES|LANGUES|MUSÉES;;Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;48.903003,2.209615;48.903003;2.209615;92000;120;Ce site internet sur les missions ethnographiques en Afrique subsaharienne entre 1928 et 1939 documente une étape importante du processus de professionnalisation de l’ethnologie française. L’expérience d’un terrain lointain devient en effet pour les ethnologues un élément essentiel de la formation. Grâce aux textes illustrés dus à des spécialistes, ce site présente le déroulement de ces expéditions collectives, leurs méthodes, leurs résultats, leur contexte ainsi que leurs différents acteurs.;false;false;false;2023-07-25
